Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Postępy Higieny i Medycyny Doświadczalnej,0032-5449,1732-2693,1100,PLN
Poultry Science,0032-5791,1525-3171,2000,USD
Prismet,0032-8847,2535-311X,7000,NOK
Psyche: A Journal of Entomology,0033-2615,1687-7438,900,USD
Psychologica Belgica,0033-2879,2054-670X,600,GBP
Raumforschung und Raumordnung,0034-0111,1869-4179,250,EUR
Revista Brasileira de Economia,0034-7140,1806-9134,360,BRL
Revista Brasileira de Enfermagem,0034-7167,1984-0446,1300,BRL
Revista Ceres,0034-737X,2177-3491,250,BRL
Revista de Saúde Pública,0034-8910,1518-8787,1800,BRL
Roczniki Panstwowego Zakladu Higieny,0035-7715,2451-2311,150,EUR
Revista do Instituto de Medicina Tropical de São Paulo,0036-4665,1678-9946,400,USD
Scientia Pharmaceutica,0036-8709,2218-0532,600,CHF
Social Work/Maatskaplike Werk,0037-8054,2312-7198,3420,ZAR
BSGF - Earth Sciences Bulletin,0037-9409,1777-5817,500,EUR
Taal en Tongval: Language Variation in the Low Countries,0039-8691,2215-1214,200,EUR
Tydskrif vir Letterkunde,0041-476X,2309-9070,6000,ZAR
مجلة كلية الطب,0041-9419,2410-8057,83,USD
Vojnosanitetski Pregled,0042-8450,2406-0720,150,EUR
Architecture & Urbanism,0044-8680,2729-8752,200,EUR
Revista Ciência Agronômica ,0045-6888,1806-6690,360,BRL
Egyptian Journal of Genetics and Cytology,0046-161X,,750,EGP
"Inquiry: The Journal of Health Care Organization, Provision, and Financing",0046-9580,1945-7243,1200,USD
Acta Agrobotanica,0065-0951,2300-357X,400,EUR
The Iraqi Journal of Agricultural science,0075-0530,2410-0862,200,USD
Koedoe: African Protected Area Conservation and Science,0075-6458,2071-0771,1091,ZAR
Postępy Mikrobiologii,0079-4252,2545-3149,100,USD
Revista da Escola de Enfermagem da USP,0080-6234,1980-220X,360,USD
Revista Brasileira de Entomologia,0085-5626,1806-9665,300,USD
Sociološki Pregled,0085-6320,2560-4880,5000,RSD
Revista Brasileira de Ciência do Solo,0100-0683,1806-9657,100,USD
Brazilian Journal of Veterinary Medicine,0100-2430,2527-2179,100,USD
Revista Brasileira de Fruticultura,0100-2945,1806-9967,1400,BRL
Revista Caatinga,0100-316X,1983-2125,300,BRL
Química Nova,0100-4042,1678-7064,330,USD
Summa Phytopathologica,0100-5405,,100,BRL
Revista Brasileira de Educação Médica,0100-5502,1981-5271,1000,BRL
Engenharia Agrícola,0100-6916,,110,BRL
Revista do Colégio Brasileiro de Cirurgiões,0100-6991,1809-4546,1000,BRL
Pesquisa Veterinária Brasileira,0100-736X,1678-5150,480,USD
Planta Daninha,0100-8358,,300,BRL
Brazilian Journal of Medical and Biological Research,0100-879X,1414-431X,1400,USD
Revista de Odontologia da UNESP,0101-1774,1807-2577,450,BRL
Food Science and Technology,0101-2061,1678-457X,220,USD
Anuário do Instituto de Geociências,0101-9759,1982-3908,330,BRL
Horticultura Brasileira,0102-0536,,205,USD
Arquivo Brasileiro de Medicina Veterinária e Zootecnia,0102-0935,1678-4162,800,USD
Revista Baiana de Enfermagem,0102-5430,2178-8650,350,BRL
Revista Gaúcha de Enfermagem ,0102-6933,1983-1447,500,BRL
Psicologia: Reflexão e Crítica,0102-7972,1678-7153,860,GBP
Acta Cirurgica Brasileira,0102-8650,,800,BRL
Biotemas,0103-1643,2175-7925,350,BRL
Revista de Economia e Sociologia Rural,0103-2003,1806-9479,600,BRL
Acta Paulista de Enfermagem,0103-2100,,1600,BRL
Revista da Educação Física,0103-3948,1983-3083,800,BRL
Journal of the Brazilian Chemical Society,0103-5053,1678-4790,1450,BRL
Fisioterapia em Movimento,0103-5150,1980-5918,600,BRL
Brazilian Dental Journal,0103-6440,1806-4760,550,BRL
Revista Brasileira de Parasitologia Veterinária,0103-846X,1984-2961,500,BRL
Ciência Rural,0103-8478,1678-4596,700,BRL
Scientia Agricola,0103-9016,1678-992X,560,USD
Ciência Florestal,0103-9954,1980-5098,250,BRL
Texto & Contexto Enfermagem,0104-0707,1980-265X,730,BRL
Cultura Agronômica,0104-1010,2446-8355,200,BRL
Cadernos de Terapia Ocupacional,0104-4931,2238-2860,220,BRL
Journal of the Brazilian Computer Society,0104-6500,1678-4804,1060,GBP
Revista Colombiana de Ciencias Pecuarias,0120-0690,2256-2958,200,USD
Vitae,0121-4004,2145-2660,100,USD
Infectio,0123-9392,,100,USD
Acta Medica Indonesiana,0125-9326,2338-2732,7500000,IDR
Media Peternakan,0126-0472,2087-4634,250,USD
AGRIVITA Journal of Agricultural Science,0126-0537,2477-8516,250,USD
Majalah Kedokteran Bandung,0126-074X,2338-6223,1500000,IDR
Ilmu Pertanian (Agricultural Science),0126-4214,2527-7162,1000000,IDR
Buletin Peternakan,0126-4400,2407-876X,800000,IDR
International Journal of Engineering Materials and Manufacture,,0128-1852,200,USD
"3L Language, Linguistics and Literature: The Southeast Asian Journal of English Language Studies",0128-5157,,300,USD
Acta Ichthyologica et Piscatoria,0137-1592,1734-1515,550,EUR
Agricultural Economics (AGRICECON),0139-570X,1805-9295,320,EUR
Polymer Testing,0142-9418,1873-2348,2000,USD
Energy Exploration & Exploitation,0144-5987,2048-4054,1200,USD
Bioscience Reports,0144-8463,1573-4935,1550,USD
"Ear, Nose & Throat Journal",0145-5613,1942-7522,1000,USD
Journal of Food Quality,0146-9428,1745-4557,2100,USD
Ecotoxicology and Environmental Safety,0147-6513,1090-2414,2600,USD
Environment International,0160-4120,,3500,USD
Scanning,0161-0457,1932-8745,1350,USD
International Journal of Mathematics and Mathematical Sciences,0161-1712,1687-0425,1025,USD
Veterinary Quarterly,0165-2176,1875-5941,1200,USD
European Journal of Cell Biology,0171-9335,1618-1298,2100,USD
Ciencias Marinas,0185-3880,2395-9053,15,USD
Terra Latinoamericana,0187-5779,2395-8030,2200,MXN
African Journal of Paediatric Surgery,0189-6725,0974-5998,150,USD
Journal of Advanced Transportation,0197-6729,2042-3195,2400,USD
Nutrición Hospitalaria,0212-1611,1699-5198,450,EUR
Atención Primaria,0212-6567,1578-1275,700,EUR
Boletín de la Asociación de Geógrafos Españoles,0212-9426,2605-3322,423,EUR
Anales de Psicología,0212-9728,,200,EUR
Revista Internacional de Métodos Numéricos para Cálculo y Diseño en Ingeniería ,0213-1315,1886-158X,700,EUR
Gaceta Sanitaria,0213-9111,1578-1283,450,EUR
INFAD,0214-9877,2603-5987,200,EUR
Majalah Geografi Indonesia,0215-1790,2540-945X,500000,IDR
Jurnal Fitopatologi Indonesia,0215-7950,2339-2479,1500000,IDR
Agro Ekonomi,0215-8787,2541-1616,1000000,IDR
Agritech,0216-0455,2527-3825,750000,IDR
Cakrawala Pendidikan: Jurnal Ilmiah Pendidikan,0216-1370,2442-8620,1000000,IDR
Jurnal Studi Al-Quran,0216-1648,2339-2614,25,USD
Jurnal Profesi Medika,0216-3438,2621-1122,800000,IDR
Planta Tropika: Jurnal Agrosains,0216-499X,2528-7079,1000000,IDR
Jurnal Agroqua,0216-6585,2598-4071,300000,IDR
Journal of Integrative Neuroscience,0219-6352,1757-448X,1750,USD
Folia Histochemica et Cytobiologica,0239-8508,1897-5631,370,EUR
Iranian Journal of Medical Sciences,0253-0716,1735-3688,350,USD
The Medical Journal of Basrah University ,0253-0759,2413-4414,75,USD
한국균학회지,0253-651X,2383-5249,300000,KRW
Pakistan Veterinary Journal,0253-8318,2074-7764,300,USD
South African Journal of Enology and Viticulture,0253-939X,2224-7904,5000,ZAR
Scriptura,0254-1807,2305-445X,7200,ZAR
Mehran University Research Journal of Engineering and Technology,0254-7821,2413-7219,10000,PKR
Notulae Botanicae Horti Agrobotanici Cluj-Napoca,0255-965X,1842-4309,500,EUR
South African Journal of Education,0256-0100,2076-3433,5500,ZAR
South African Journal of Libraries and Information Science,0256-8861,2304-8263,20000,ZAR
Missionalia: Southern African Journal of Missiology,0256-9507,2312-878X,3000,ZAR
Perspectives in Education,0258-2236,2519-593X,3500,ZAR
Literator,0258-2279,2219-8237,772,ZAR
SA Journal of Industrial Psychology,0258-5200,2071-0763,1035,ZAR
Dianzi Jishu Yingyong,0258-7998,,1696,CNY
Per Linguam : A Journal of Language Learning,0259-2312,2224-0012,250,ZAR
Journal of Education,0259-479X,2520-9868,4500,ZAR
HTS Teologiese Studies/Theological Studies ,0259-9422,2072-8050,1275,ZAR
Annals of Glaciology,0260-3055,1727-5644,1200,GBP
Journal of Micropalaeontology,0262-821X,2041-4978,780,EUR
Adsorption Science & Technology,0263-6174,2048-4038,1350,USD
Materials & Design,0264-1275,1873-4197,2000,USD
International Journal of Hyperthermia,0265-6736,1464-5157,1950,USD
International Journal of Adolescence and Youth,0267-3843,2164-4527,800,USD
Journal of Freshwater Ecology,0270-5060,2156-6941,1200,USD
Mountain Research and Development,0276-4741,1994-7151,850,USD
Disease Markers,0278-0240,1875-8630,2300,USD
Scandinavian Journal of Primary Health Care,0281-3432,1502-7724,1500,EUR
Journal of International Medical Research,0300-0605,1473-2300,2600,GBP
Photosynthetica,0300-3604,1573-9058,750,EUR
Intervirology,0300-5526,1423-0100,1240,CHF
Akroterion,0303-1896,2079-2883,1000,ZAR
Chinese Journal of Physiology,0304-4920,2666-0059,500,USD
Nucleic Acids Research,0305-1048,1362-4962,2770,USD
Meteorologica,0325-187X,1850-468X,3500,ARS
Revista Argentina de Microbiología,0325-7541,1851-7617,1400,USD
Ciencia del Suelo ,0326-3169,1850-2067,2000,ARS
Horticultura Argentina,0327-3431,1851-9342,200,ARS
Anales (Asociación Física Argentina),0327-358X,1850-1168,1500,ARS
Agriscientia,0327-6244,1668-298X,15,USD
Nigerian Journal of Technology,0331-8443,2467-8821,185,USD
Studia Musicologica Norvegica,0332-5024,1504-2960,16000,NOK
Journal of Intelligent Systems,0334-1860,2191-026X,1000,EUR
High Temperature Materials and Processes,0334-6455,2191-0324,1000,EUR
Journal of the Mechanical Behavior of Materials,0334-8938,2191-0243,500,EUR
Nota Lepidopterologica,0342-7536,2367-5365,250,EUR
Građevinar,0350-2465,1333-9095,60,EUR
Ekonomika Poljoprivrede (1979),0352-3462,2334-8453,15000,RSD
 Informacije MIDEM,0352-9045,2232-6979,200,EUR
Folia Medica Facultatis Medicinae Universitatis Saraeviensis,0352-9630,2303-6141,50,EUR
Promet (Zagreb),0353-5320,1848-4069,600,EUR
Sestrinska reč,0354-8422,2466-5126,5,EUR
Thermal Science,0354-9836,2334-7163,150,EUR
"Scandinavian Journal of Work, Environment & Health",0355-3140,1795-990X,2300,EUR
Chinese Medical Journal,0366-6999,2542-5641,2000,USD
Фармацевтичний журнал,0367-3057,2617-9628,1600,UAH
Hemijska Industrija ,0367-598X,2217-7426,100,EUR
Kazanskij Medicinskij Žurnal,0368-4814,2587-9359,9800,RUB
Revista de la Facultad de Ciencias Agrarias,0370-4661,1853-8665,300,USD
Revista Industrial y Agrícola de Tucumán,0370-5404,1851-3018,26,ARS
Veterinární Medicína,0375-8427,1805-9392,320,EUR
Indian Journal of Pathology and Microbiology,0377-4929,0974-5130,200,USD
Theologia Viatorum,0378-4142,2664-2980,10960,ZAR
South African Journal of Physiotherapy,0379-6175,2410-8219,590,ZAR
Curationis,0379-8577,2223-6279,1220,ZAR
Cell Structure and Function,0386-7196,1347-3700,100000,JPY
Haematologica,0390-6078,1592-8721,2000,EUR
La Pediatria Medica e Chirurgica,0391-5387,2420-7748,500,EUR
Pharmacia,0428-0296,2603-557X,100,EUR
Helminthologia,0440-6605,1336-9083,105,EUR
Journal of Radiation Research,0449-3060,1349-9157,1000,GBP
Medycyna Pracy,0465-5893,2353-1339,500,EUR
Zuowu xuebao,0496-3490,,6480,CNY
Yonsei Medical Journal,0513-5796,1976-2437,700,USD
Metalurgija,0543-5846,1334-2576,650,EUR
Поліграфія і видавнича справа,0554-4866,,800,UAH
Acta Palaeontologica Polonica,0567-7920,1732-2421,22,EUR
Annals of Agricultural Sciences,0570-1783,,85,USD
Revista Chilena de Historia Natural,0716-078X,0717-6317,1570,GBP
Biological Research,0716-9760,0717-6287,1570,GBP
Electronic Journal of Biotechnology,,0717-3458,1100,USD
Medwave,,0717-6384,600,USD
Latin American Journal of Aquatic Research ,,0718-560X,300,USD
Chilean Journal of Agricultural Research,,0718-5839,650,USD
Journal of Pharmacy & Pharmacognosy Research,,0719-4250,250,USD
Revista Inclusiones,,0719-4706,80,USD
Advances in Polymer Technology,0730-6679,1098-2329,1950,USD
BioTechniques,0736-6205,1940-9818,1415,USD
Biomedicine & Pharmacotherapy,0753-3322,1950-6007,2660,USD
Annals of Medicine,0785-3890,1365-2060,2500,USD
Science and Engineering of Composite Materials,0792-1233,2191-0359,1000,EUR
Main Group Metal Chemistry,0792-1241,2191-0219,1000,EUR
Polar Research,0800-0395,1751-8369,790,EUR
På Spissen,0800-2452,2464-2258,4000,NOK
CMAJ,0820-3946,1488-2329,2850,CAD
Alces : A Journal Devoted to the Biology and Management of Moose,0835-5851,,40,CAD
Canadian Journal of Gastroenterology,0835-7900,1916-7237,2100,USD
Forum Geografi,0852-0682,2460-3945,1000000,IDR
Reaktor,0852-0798,2407-5973,1000000,IDR
Humaniora,0852-0801,2302-9269,80,USD
Yustisia,0852-0941,2549-0907,1500000,IDR
Mimbar Hukum,0852-100X,2443-0994,500000,IDR
Teknik,0852-1697,2460-9919,1000000,IDR
Journal of Tropical Soils,0852-257X,2086-6682,125,USD
Journal of Biological Researches,0852-6834,2337-389X,1625000,IDR
Medical Journal of Indonesia,0853-1773,2252-8083,300,USD
Biosfer,0853-2451,2614-3984,600000,IDR
Jurnal Teknik Sipil,0853-2982,2549-2659,1000000,IDR
Jurnal Ilmu Pertanian Indonesia,0853-4217,2443-3462,800000,IDR
Habitat,0853-5167,2338-2007,500000,IDR
Jurnal Siasat Bisnis,0853-7666,2528-7001,76,USD
Indonesian Journal of Biotechnology,0853-8654,2089-2241,150,USD
Majalah Ilmiah Peternakan,0853-8999,2656-8373,20,USD
Jurnal Ketahanan Nasional,0853-9340,2527-9688,500000,IDR
Paramita: Historical Studies Journal,0854-0039,2407-5825,1500000,IDR
Majalah Obstetri dan Ginekologi,0854-0381,2598-1013,200000,IDR
Jurnal Pendidikan Teknologi dan Kejuruan,0854-4735,2477-2410,200000,IDR
Kanun: Jurnal Ilmu Hukum,0854-5499,2527-8428,400000,IDR
Jurnal Manusia dan Lingkungan,0854-5510,2460-5727,600000,IDR
Jurnal Kedokteran Gigi Universitas Padjadjaran,0854-6002,2549-6514,300000,IDR
Sekolah Dasar: Kajian Teori dan Praktik Pendidikan,0854-8285,2581-1983,500000,IDR
Wahana Sekolah Dasar,0854-8293,2622-5883,100000,IDR
Jurnal Media Hukum,0854-8919,2503-1023,1500000,IDR
Thai Journal of Obstetrics and Gynaecology,0857-6084,,100,USD
Biology of Sport,0860-021X,2083-1862,230,EUR
Ceramics-Silikáty,0862-5468,1804-5847,400,EUR
Physiological Research,0862-8408,1802-9973,800,EUR
Horticultural Science,0862-867X,1805-9333,320,EUR
Archives of Transport,0866-9546,2300-8830,350,EUR
Revista de Ciências Agrárias,0871-018X,2183-041X,150,EUR
Active and Passive Electronic Components,0882-7516,1563-5031,900,USD
Renal Failure,0886-022X,1525-6049,1500,GBP
Microbial Ecology in Health and Disease,0891-060X,1651-2235,1600,EUR
Journal of Veterinary Internal Medicine,0891-6640,1939-1676,1650,USD
Molecular Plant-Microbe Interactions,0894-0282,1943-7706,3000,USD
Journal of Interventional Cardiology,0896-4327,1540-8183,2100,USD
Sensors and Materials,0914-4935,2435-0869,99360,JPY
ISIJ International,0915-1559,1347-5460,93000,JPY
The Journal of Reproduction and Development,0916-8818,1348-4400,127000,JPY
Journal of Epidemiology,0917-5040,1349-9092,120000,JPY
Analytical Cellular Pathology,0921-8912,1878-3651,1800,USD
European Psychiatry,0924-9338,1778-3585,2200,EUR
Veterinary Research,0928-4249,1297-9716,1175,GBP
Journal of the Formosan Medical Association,0929-6646,,1000,USD
Pteridines,0933-4807,2195-4720,1500,EUR
European Journal of Mineralogy,0935-1221,1617-4011,950,EUR
Meteorologische Zeitschrift,0941-2948,1610-1227,1300,EUR
Behavioural Neurology,0953-4180,1875-8584,1650,USD
Food and Agricultural Immunology,0954-0105,1465-3443,1500,GBP
Chemical Speciation & Bioavailability,0954-2299,2047-6523,1000,USD
Journal of Materials Science: Materials in Medicine,0957-4530,1573-4838,2195,USD
Cell Proliferation,0960-7722,1365-2184,2400,EUR
Mediators of Inflammation,0962-9351,1466-1861,2300,USD
Cell Transplantation,0963-6897,1555-3892,2750,USD
Advanced Composites Letters,0963-6935,2633-366X,1200,USD
Complementary Therapies in Medicine,0965-2299,1873-6963,1800,USD
Occupational Therapy International,0966-7903,1557-0703,1350,USD
Reproductive Health Matters,0968-8080,1460-9576,1700,EUR
Neurobiology of Disease,0969-9961,1095-953X,2500,USD
Indian Journal of Community Medicine,0970-0218,1998-3581,80,USD
Indian Journal of Dental Research,0970-9290,1998-3603,150,USD
Journal of Applied Animal Research,0971-2119,0974-1844,800,USD
Journal of Extension Education,0971-3123,2456-1282,1800,INR
Nature Environment and Pollution Technology,0972-6268,2395-3454,575,USD
Industrial Psychiatry Journal,0972-6748,0976-2795,60,USD
Journal of Function Spaces and Applications,0972-6802,,2100,USD
AKCE International Journal of Graphs and Combinatorics,0972-8600,2543-3474,1200,USD
Veterinary World,0972-8988,2231-0916,600,USD
Journal of Minimal Access Surgery,0972-9941,1998-3921,200,USD
E-Journal of Chemistry,0973-4945,2090-9810,1650,USD
Journal of Stem Cells and Regenerative Medicine,,0973-7154,380,USD
Journal of Pure and Applied Microbiology,0973-7510,2581-690X,500,USD
Carbon: Science and Technology,,0974-0546,300,USD
"Journal of Emergencies, Trauma and Shock",0974-2700,0974-519X,600,USD
Journal of Laboratory Physicians,0974-2727,0974-7826,100000,INR
Journal of Carcinogenesis,0974-6773,1477-3163,1500,USD
Journal of Global Infectious Diseases,0974-777X,0974-8245,400,USD
Urology Annals,0974-7796,0974-7834,100,USD
Shodh Sanchayan,0975-1254,2249-9180,700,INR
Rupkatha Journal on Interdisciplinary Studies in Humanities ,,0975-2935,150,USD
Journal of Ayurveda and Integrative Medicine,0975-9476,0976-2809,1800,USD
Contemporary Clinical Dentistry,0976-237X,0976-2361,250,USD
Journal of Neurosciences in Rural Practice,0976-3147,0976-3155,125,USD
Indian Journal of Dental Sciences,0976-4003,2231-2293,150,USD
Journal of Pharmacy and Bioallied Sciences,0976-4879,0975-7406,250,USD
Journal of Advanced Laboratory Research in Biology,,0976-7614,50,USD
Geodinamica Acta,0985-3111,1778-3593,1000,USD
Annales Geophysicae,0992-7689,1432-0576,1100,EUR
Genetics Selection Evolution,0999-193X,1297-9686,1175,GBP
Xibei Gongye Daxue Xuebao,1000-2758,2609-7125,8000,CNY
Chinese Journal of Magnetic Resonance,1000-4556,,1000,CNY
Chinese Journal of Cancer,1000-467X,1944-446X,1370,GBP
Journal of Shanghai Normal University (Natural Sciences),1000-5137,,100,CNY
Journal of Isotopes,1000-7512,,200,CNY
Zhongliu Fangzhi Yanjiu,1000-8578,,500,CNY
Acta Geodaetica et Cartographica Sinica,1001-1595,,600,CNY
Journal of Materials Engineering,1001-4381,,2400,CNY
Linchuang Gandanbing Zazhi,1001-5256,,2500,CNY
Journal of Infrared and Millimeter Waves ,1001-9014,,300,USD
Journal of Chinese Pharmaceutical Sciences,1003-1057,,300,USD
Journal of Aeronautical Materials,1005-5053,,1500,CNY
Chinese Journal of Engineering Design,1006-754X,,3000,CNY
Journal of Harbin University of Science and Technology,1007-2683,,4000,CNY
Zhongguo youliao zuowu xuebao,1007-9084,,6000,CNY
Asian Journal of Andrology,1008-682X,1745-7262,4900,CNY
Chinese Journal of Lung Cancer,1009-3419,1999-6187,1000,CNY
Tumor Biology,1010-4283,1423-0380,2000,USD
Medicina,1010-660X,1648-9144,1500,CHF
Old Testament Essays,1010-9919,2312-3621,200,ZAR
Asian-Australasian Journal of Animal Sciences,1011-2367,1976-5517,370,USD
South African Journal of Higher Education,1011-3487,1753-5913,370,ZAR
Journal for the Study of Religion,1011-7601,2413-3027,2500,ZAR
Journal of Korean Medical Science,1011-8934,1598-6357,900000,KRW
Pythagoras,1012-2346,2223-7895,624,ZAR
South African Journal of Industrial Engineering,1012-277X,2224-7890,1250,ZAR
Herpetozoa,1013-4425,2682-955X,500,EUR
Brain Pathology,1015-6305,1750-3639,3200,EUR
South African Computer Journal,1015-7999,2313-7835,6000,ZAR
South African Journal of Economic and Management Sciences,1015-8812,2222-3436,1016,ZAR
Cellular Physiology and Biochemistry,1015-8987,1421-9778,1785,EUR
Asian Journal of Surgery,1015-9584,,1200,USD
"Terrestrial, Atmospheric and Oceanic Sciences",1017-0839,2311-7680,400,USD
Bulletin of the Iraq Natural History Museum,1017-8678,2311-9799,200000,IQD
Acta Orthopaedica et Traumatologica Turcica,1017-995X,,200,EUR
Journal of King Saud University: Science,1018-3647,,1250,USD
In die Skriflig,1018-6441,2305-0853,629,ZAR
Pharos Journal of Theology,1018-9556,2414-3324,2750,ZAR
تحقيقات جغرافيايی,1019-7052,2538-4384,8000000,IRR
Journal of the South African Veterinary Association,1019-9128,2224-9435,1209,ZAR
Journal of Energy in Southern Africa,1021-447X,2413-3051,5000,ZAR
Iranian Journal of Chemistry & Chemical Engineering ,1021-9986,,5000000,IRR
Nonlinear Processes in Geophysics,1023-5809,1607-7946,1310,EUR
International Journal of Rotating Machinery,1023-621X,1542-3034,900,USD
Mathematical Problems in Engineering,1024-123X,1563-5147,2400,USD
Journal of Mechanical Engineering Research and Developments,1024-1752,,300,USD
Hematology,1024-5332,1607-8454,1950,USD
آب و فاضلاب,1024-5936,2383-0905,450000,IRR
تحقیقات مالی,1024-8153,2423-5377,25,USD
Health SA Gesondheid: Journal of Interdisciplinary Health Sciences,1025-9848,2071-9736,1236,ZAR
Discrete Dynamics in Nature and Society,1026-0226,1607-887X,2300,USD
‬‭Majallah-i ̒Ilmī-i Shīlāt-i Īrān,1026-1354,2322-5998,2500000,IRR
South African Journal of Chemical Engineering,1026-9185,,800,USD
Revista Chapingo Serie Horticultura,1027-152X,2007-4034,200,USD
Stellenbosch Papers in Linguistics,1027-3417,2223-9936,2500,ZAR
Hydrology and Earth System Sciences,1027-5606,1607-7938,1600,EUR
مجله دانشکده پزشکی اصفهان,1027-7595,1735-854X,2000000,IRR
Dermatologica Sinica,1027-8117,2223-330X,70,USD
Journal of Inequalities and Applications,,1029-242X,1060,GBP
Heteroatom Chemistry,1042-7163,1098-1071,1650,USD
Oceanography,1042-8275,2377-617X,500,USD
International Journal of Methods in Psychiatric Research,1049-8931,1557-0657,2400,USD
NeuroImage,1053-8119,1095-9572,3000,USD
Journal of Applied Poultry Research,1056-6171,1537-0437,2000,USD
Scientific Programming,1058-9244,1875-919X,1800,USD
Bulletin of the History of Archaeology,1062-4740,2047-6930,300,GBP
HortTechnology,1063-0198,1943-7714,2500,USD
Infectious Diseases in Obstetrics and Gynecology,1064-7449,1098-0997,775,USD
Human Brain Mapping,1065-9471,1097-0193,3200,USD
Agricultural and Resource Economics Review,1068-2805,2372-2614,1500,USD
Journal of Agricultural and Resource Economics,1068-5502,2327-8285,1691,USD
Journal of Hymenoptera Research,1070-9428,1314-2607,440,EUR
Shock and Vibration,1070-9622,1875-9203,2400,USD
Drug Delivery,1071-7544,1521-0464,1950,USD
Cancer Control,1073-2748,1526-2359,2200,USD
Clinical and Applied Thrombosis/Hemostasis,1076-0296,1938-2723,2200,USD
Molecular Medicine,1076-1551,1528-3658,1990,GBP
Complexity,1076-2787,1099-0526,2300,USD
Journal of Orthoptera Research,1082-6467,1937-2426,150,USD
Annals of Noninvasive Electrocardiology,1082-720X,1542-474X,2150,EUR
Journal of Biomedical Optics,1083-3668,1560-2281,1675,USD
Abstract and Applied Analysis,1085-3375,1687-0409,1025,USD
Dermatology Online Journal,,1087-2108,300,USD
Medical Education Online,,1087-2981,1950,USD
Global Business and Finance Review ,1088-6931,2384-1648,500,USD
International Journal of Food Properties,1094-2912,1532-2386,1950,USD
Optics Express,,1094-4087,2230,USD
Wind Energy,1095-4244,1099-1824,2700,USD
International Food and Agribusiness Management Review,1096-7508,1559-2448,1000,EUR
Journal of Cardiovascular Magnetic Resonance,1097-6647,1532-429X,1870,GBP
Journal of Clinical Laboratory Analysis,,1098-2825,2805,EUR
Entropy,,1099-4300,1800,CHF
Alexandria Engineering Journal,1110-0168,2090-2670,860,USD
Alexandria Science Exchange Journal,1110-0176,2536-9784,100,USD
Egyptian Journal of Anaesthesia,1110-1849,1687-1804,350,USD
Arab Universities Journal of Agricultural Sciences,1110-2675,2636-3585,200,USD
Egyptian Journal of Aquatic Biology and Fisheries ,1110-6131,,100,USD
International Journal of Photoenergy,1110-662X,1687-529X,1800,USD
Journal of Biomedicine and Biotechnology,1110-7243,1110-7251,2400,USD
Journal of Applied Mathematics,1110-757X,1687-0042,1025,USD
Egyptian Informatics Journal,1110-8665,,1000,USD
Journal of Electrical Systems,1112-5209,,100,USD
Nigerian Journal of Surgery,1117-6806,2278-7100,5000,INR
Italian Journal of Food Science,1120-1770,,1100,USD
European Journal of Histochemistry ,1121-760X,2038-8306,950,EUR
Archivio Italiano di Urologia e Andrologia,1124-3562,2282-4197,200,EUR
Italian Journal of Agronomy,1125-4718,2039-6805,400,EUR
